month-year,net sales/income from operations,other operating income,total income from operations,consumption of raw materials,purchase of traded goods,increase/decrease in stocks,power fuel,employees cost,depreciation,excise duty,admin. and selling expenses,r d expenses,provisions and contingencies,exp. capitalised,other expenses,p/l before other inc. int.excpt. items tax,other income,p/l before int.excpt. items tax,interest,p/l before exceptional items tax,exceptional items,p/l before tax,tax,p/l after tax from ordinary activities,prior year adjustments,extra ordinary items,net profit/(loss) for the period,equity share capital,reserves excluding revaluation reserves,equity dividend rate (%),basic eps,diluted eps,basic eps.,diluted eps.,no of shares (crores),share holding (%),- number of shares (crores),- per. of shares (as a % of the total sh. of prom. and promoter group),- per. of shares (as a % of the total share cap. of the company),- number of shares (crores).,- per. of shares (as a % of the total sh. of prom. and promoter group).,- per. of shares (as a % of the total share cap. of the company).,stock_name
Dec '21,"6,864.02",69.98,"6,934.00","3,757.40",691.31,-33.36,--,588.24,102.70,--,--,--,--,--,"1,373.70",454.01,159.62,613.63,10.70,602.93,121.34,724.27,191.78,532.49,--,-12.78,519.71,42.38,"4,002.81",260.00,24.53,24.53,24.53,24.53,--,--,--,--,--,--,--,--,ABB INDIA
Dec '20,"5,757.17",63.78,"5,820.95","3,241.94",456.66,22.28,--,568.01,120.36,--,--,--,--,--,"1,256.12",155.58,106.87,262.45,16.87,245.58,58.79,304.37,73.93,230.44,--,-11.22,219.22,42.38,"3,564.00",250.00,10.34,10.34,10.34,10.34,--,--,--,--,--,--,--,--,ABB INDIA
Dec '19,"7,229.00",86.06,"7,315.06","4,194.97",471.02,-26.73,--,579.62,90.40,--,--,--,--,--,"1,565.03",440.75,94.31,535.06,21.36,513.70,-69.70,444.00,141.77,302.23,--,1.17,303.40,42.38,"3,477.73",240.00,14.32,14.32,14.32,14.32,--,--,--,--,--,--,--,--,ABB INDIA
Dec '18,"6,613.36",76.76,"6,690.12","3,755.62",582.11,-50.38,--,529.50,92.76,--,--,--,--,--,"1,415.48",365.03,84.01,449.04,53.90,395.14,--,395.14,140.95,254.19,--,256.70,510.89,42.38,"3,964.94",240.00,24.11,24.11,24.11,24.11,--,--,--,--,--,--,--,--,ABB INDIA
Dec '17,"8,961.42",125.90,"9,087.32","5,060.67",357.12,-65.51,--,796.30,157.97,--,--,--,--,--,"2,202.67",578.10,120.97,699.07,77.31,621.76,--,621.76,201.81,419.95,--,--,419.95,42.38,"3,564.51",220.00,19.82,19.82,19.82,19.82,--,--,--,--,--,--,--,--,ABB INDIA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABB INDIA
Mar '21,"4,310.02",--,"4,310.02",454.32,"2,040.60",-104.00,--,492.65,58.13,--,--,--,--,--,504.99,863.33,80.90,944.23,18.28,925.95,--,925.95,235.26,690.69,--,--,690.69,21.25,"2,580.91","2,750.00",325.04,325.04,325.04,325.04,--,--,--,--,--,--,--,--,ABBOTT INDIA
Mar '20,"4,093.14",--,"4,093.14",451.76,"1,802.64",61.25,--,476.11,59.61,--,--,--,--,--,544.94,696.83,114.39,811.22,8.53,802.69,--,802.69,209.76,592.93,--,--,592.93,21.25,"2,410.46","2,500.00",279.04,279.04,279.04,279.04,--,--,--,--,--,--,--,--,ABBOTT INDIA
Mar '19,"3,678.60",--,"3,678.60",406.40,"1,684.38",-2.18,--,435.58,16.92,--,--,--,--,--,549.69,587.81,113.29,701.10,2.25,698.85,--,698.85,248.52,450.33,--,--,450.33,21.25,"1,987.34",650.00,211.93,211.93,211.93,211.93,--,--,--,--,--,--,--,--,ABBOTT INDIA
Mar '18,"3,298.50",--,"3,298.50",295.72,"1,711.22",-102.20,--,393.69,16.19,--,--,--,--,--,475.57,508.31,116.99,625.30,3.82,621.48,--,621.48,220.26,401.22,--,--,401.22,21.25,"1,671.51",550.00,188.81,188.81,188.81,188.81,--,--,--,--,--,--,--,--,ABBOTT INDIA
Mar '17,"2,902.56",--,"2,902.56",315.94,"1,497.56",-101.44,--,345.27,16.43,--,--,--,--,--,447.91,380.89,57.64,438.53,2.04,436.49,--,436.49,154.88,281.61,-4.96,--,276.65,21.25,"1,365.69",400.00,130.19,130.19,130.19,130.19,--,--,--,--,--,--,--,--,ABBOTT INDIA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABBOTT INDIA
Dec '21,"15,814.40",336.95,"16,151.35","2,120.28",921.19,-174.25,"3,360.80",834.02,597.28,--,--,--,--,--,"6,088.91","2,403.12",204.76,"2,607.88",54.63,"2,553.25",-92.86,"2,460.39",640.12,"1,820.27",--,--,"1,820.27",187.99,"14,040.44",580.00,96.93,96.67,96.93,96.67,--,--,--,--,--,--,--,--,ACC
