month-year,net sales/income from operations,other operating income,total income from operations,consumption of raw materials,purchase of traded goods,increase/decrease in stocks,power fuel,employees cost,depreciation,excise duty,admin. and selling expenses,r d expenses,provisions and contingencies,exp. capitalised,other expenses,p/l before other inc. int.excpt. items tax,other income,p/l before int.excpt. items tax,interest,p/l before exceptional items tax,exceptional items,p/l before tax,tax,p/l after tax from ordinary activities,prior year adjustments,extra ordinary items,net profit/(loss) for the period,equity share capital,reserves excluding revaluation reserves,equity dividend rate (%),basic eps,diluted eps,basic eps.,diluted eps.,no of shares (crores),share holding (%),- number of shares (crores),- per. of shares (as a % of the total sh. of prom. and promoter group),- per. of shares (as a % of the total share cap. of the company),- number of shares (crores).,- per. of shares (as a % of the total sh. of prom. and promoter group).,- per. of shares (as a % of the total share cap. of the company).,stock_name
Mar '20,-808.57,"1,566.88",758.31,--,--,--,--,--,--,--,--,--,"1,247.79",--,77.98,-567.46,121.49,-445.97,--,-445.97,--,-445.97,-86.88,-359.09,--,--,-359.09,877.20,"24,321.45",--,-2.05,-2.05,-2.05,-2.05,--,--,--,--,--,--,--,--,GENERAL INSURAN
Mar '19,"2,421.21","1,768.67","4,189.88",--,--,--,--,--,--,--,--,--,581.49,--,265.99,"3,342.40",91.43,"3,433.83",--,"3,433.83",--,"3,433.83","1,209.52","2,224.31",--,--,"2,224.31",877.20,"30,891.84",135.00,12.68,12.68,12.68,12.68,--,--,--,--,--,--,--,--,GENERAL INSURAN
Mar '18,"2,333.46","1,562.39","3,895.85",--,--,--,--,--,--,--,--,--,127.70,--,110.74,"3,657.41",10.85,"3,668.26",--,"3,668.26",--,"3,668.26",434.67,"3,233.59",--,--,"3,233.59",438.60,"30,673.86",270.00,37.27,37.27,37.27,37.27,--,--,--,--,--,--,--,--,GENERAL INSURAN
Mar '17,"3,626.97",--,"3,626.97",--,--,--,--,--,18.52,--,--,--,259.56,--,95.88,"3,253.01",17.21,"3,270.22",--,"3,270.22",--,"3,270.22",412.37,"2,857.85",--,--,"2,857.85",430.00,"28,051.34",233.00,33.23,33.23,33.23,33.23,--,--,--,--,--,--,--,--,GENERAL INSURAN
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GENERAL INSURAN
Jun '21,"2,009.42",--,"2,009.42",482.67,416.55,-18.49,--,143.22,57.52,--,263.91,--,--,--,261.06,402.98,31.73,434.71,5.25,429.46,--,429.46,119.08,310.38,--,--,310.38,32.59,747.36,"1,190.00",95.25,95.25,95.25,95.25,--,--,--,--,--,--,--,--,GILLETTE INDIA
Jun '20,"1,679.06",--,"1,679.06",188.82,565.28,-25.03,--,119.18,51.05,--,203.59,--,--,--,268.18,307.99,11.42,319.41,5.44,313.97,--,313.97,83.79,230.18,--,--,230.18,32.59,871.69,490.00,70.64,70.64,70.64,70.64,--,--,--,--,--,--,--,--,GILLETTE INDIA
Jun '19,"1,861.65",--,"1,861.65",233.14,608.47,-22.71,--,108.30,47.70,--,230.49,--,--,--,322.96,333.30,13.60,346.90,7.85,339.05,--,339.05,86.13,252.92,--,--,252.92,32.59,740.76,440.00,77.62,77.62,77.62,77.62,--,--,--,--,--,--,--,--,GILLETTE INDIA
Jun '18,"1,676.85",--,"1,676.85",141.32,530.96,20.86,--,117.91,42.29,--,217.19,--,--,--,267.01,339.31,12.75,352.06,7.46,344.60,--,344.60,115.55,229.05,--,--,229.05,32.59,661.59,230.00,70.29,70.29,70.29,70.29,--,--,--,--,--,--,--,--,GILLETTE INDIA
Jun '17,"1,733.60",--,"1,733.60",373.45,432.99,-20.40,--,109.72,38.35,--,230.37,--,--,--,225.88,343.24,37.82,381.06,6.74,374.32,--,374.32,121.24,253.08,--,--,253.08,32.59,468.02,"1,640.00",77.67,77.67,77.67,77.67,--,--,--,--,--,--,--,--,GILLETTE INDIA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GILLETTE INDIA
Mar '21,"3,193.73",--,"3,193.73",452.64,880.11,-27.53,--,614.69,79.28,--,--,--,--,--,578.87,615.67,110.19,725.86,3.53,722.33,-172.60,549.73,192.17,357.56,--,--,357.56,169.41,"1,348.53",300.00,21.11,21.11,21.11,21.11,--,--,--,--,--,--,--,--,GLAXOSMITHKLINE
Mar '20,"3,224.68",--,"3,224.68",474.38,868.92,-35.43,--,628.55,82.68,--,--,--,--,--,629.81,575.77,77.56,653.33,6.34,646.99,-324.49,322.50,212.45,110.05,--,--,110.05,169.41,"1,670.63",400.00,6.50,6.50,6.50,6.50,--,--,--,--,--,--,--,--,GLAXOSMITHKLINE
Mar '19,"3,128.53",--,"3,128.53",682.07,645.89,25.57,--,537.20,48.59,--,--,--,--,--,631.32,557.89,101.48,659.37,0.55,658.82,4.89,663.71,238.35,425.36,--,--,425.36,169.41,"1,973.01",200.00,25.11,25.11,25.11,25.11,--,--,--,--,--,--,--,--,GLAXOSMITHKLINE
Mar '18,"2,875.58",20.30,"2,895.88",510.27,788.42,-57.94,--,523.40,37.99,--,--,--,--,--,623.29,470.45,53.52,523.97,0.19,523.78,17.80,541.58,189.60,351.98,--,--,351.98,84.70,"1,995.25",350.00,41.56,41.56,41.56,41.56,--,--,--,--,--,--,--,--,GLAXOSMITHKLINE
Mar '17,"2,920.79",73.72,"2,994.51",523.58,790.70,79.49,--,483.01,26.35,--,--,--,--,--,697.79,393.59,71.76,465.35,--,465.35,45.73,511.08,174.30,336.78,--,--,336.78,84.70,"1,943.51",300.00,39.80,39.80,39.80,39.80,--,--,--,--,--,--,--,--,GLAXOSMITHKLINE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GLAXOSMITHKLINE
Mar '21,"7,450.91",117.02,"7,567.93","2,678.26",315.96,5.24,--,"1,107.40",150.82,--,--,--,--,--,"1,570.74","1,739.53",396.24,"2,135.76",265.90,"1,869.87",73.89,"1,943.76",294.31,"1,649.45",--,--,"1,649.45",28.22,"14,781.29",250.00,58.46,58.46,58.46,58.46,--,--,--,--,--,--,--,--,GLENMARK
Mar '20,"6,491.20",221.43,"6,712.63","2,251.98",365.24,48.77,--,"1,072.33",138.54,--,--,--,--,--,"1,670.08","1,165.69",606.79,"1,772.48",256.39,"1,516.09",18.55,"1,534.64",180.10,"1,354.55",--,--,"1,354.55",28.22,"13,198.05",250.00,48.00,48.00,48.00,48.00,--,--,--,--,--,--,--,--,GLENMARK
Mar '19,"6,131.14",173.73,"6,304.87","1,585.85",301.30,471.81,--,969.98,106.28,--,--,--,--,--,"1,648.45","1,221.20",475.61,"1,696.81",223.81,"1,473.00",345.19,"1,818.18",329.88,"1,488.30",--,133.81,"1,622.11",28.22,"11,913.87",200.00,52.75,52.74,52.75,52.74,--,--,--,--,--,--,--,--,GLENMARK
Mar '18,"6,096.05",335.83,"6,431.88","2,038.57",288.18,51.85,--,"1,021.92",118.20,--,--,--,--,--,"1,683.87","1,229.30",180.42,"1,409.72",190.90,"1,218.83",--,"1,218.83",204.48,"1,014.35",--,--,"1,014.35",28.22,"10,363.22",200.00,35.95,35.94,35.95,35.94,--,--,--,--,--,--,--,--,GLENMARK
Mar '17,"7,694.83",400.67,"8,095.50","2,242.01",267.00,-83.52,--,914.47,104.93,--,--,--,--,--,"1,856.90","2,793.71",148.24,"2,941.95",152.60,"2,789.35",-236.45,"2,552.90",412.29,"2,140.61",--,--,"2,140.61",28.22,"9,408.40",200.00,75.86,75.84,75.86,75.84,--,--,--,--,--,--,--,--,GLENMARK
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GLENMARK
Mar '21,640.81,--,640.81,263.71,--,10.32,--,69.90,28.95,--,--,--,--,--,143.26,124.67,7.89,132.56,6.66,125.90,--,125.90,30.80,95.10,--,--,95.10,2.92,354.43,250.00,65.06,65.06,65.06,65.06,--,--,--,--,--,--,--,--,GMM PFAUDLER
Mar '20,516.36,--,516.36,238.64,--,-5.69,--,55.11,20.01,--,--,--,--,--,128.88,79.41,6.12,85.52,3.49,82.04,--,82.04,19.91,62.12,--,--,62.12,2.92,268.16,250.00,42.50,42.50,42.50,42.50,--,--,--,--,--,--,--,--,GMM PFAUDLER
Mar '19,418.70,--,418.70,212.04,--,-9.24,--,42.21,10.37,--,--,--,--,--,108.12,55.21,7.24,62.44,1.17,61.27,--,61.27,20.64,40.64,--,--,40.64,2.92,214.79,225.00,27.80,27.80,27.80,27.80,--,--,--,--,--,--,--,--,GMM PFAUDLER
Mar '18,312.41,--,312.41,148.19,--,-16.88,--,36.47,8.31,--,--,--,--,--,98.44,37.89,7.04,44.93,1.03,43.90,--,43.90,15.52,28.38,--,--,28.38,2.92,182.88,200.00,19.41,19.41,19.41,19.41,--,--,--,--,--,--,--,--,GMM PFAUDLER
Mar '17,266.31,--,266.31,118.16,--,-2.41,--,30.93,7.38,--,--,--,--,--,78.59,33.66,7.78,41.44,0.90,40.54,--,40.54,12.32,28.22,--,--,28.22,2.92,161.88,200.00,19.31,19.31,19.31,19.31,--,--,--,--,--,--,--,--,GMM PFAUDLER
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GMM PFAUDLER
Mar '21,"5,128.69",--,"5,128.69","2,224.83",34.76,68.53,767.78,451.47,272.30,--,--,--,--,--,577.99,731.03,237.23,968.26,19.95,948.31,--,948.31,259.10,689.21,--,--,689.21,155.42,"5,828.25",80.00,44.35,44.35,44.35,44.35,--,--,--,--,--,--,--,--,GNFC
Mar '20,"5,162.42",--,"5,162.42","2,733.89",43.04,-39.17,829.30,513.30,264.33,--,--,--,--,--,540.35,277.38,152.67,430.05,5.27,424.78,--,424.78,-74.07,498.85,--,--,498.85,155.42,"5,067.08",50.00,32.10,32.10,32.10,32.10,--,--,--,--,--,--,--,--,GNFC
Mar '19,"5,896.02",--,"5,896.02","2,848.11",61.75,-49.24,890.27,523.63,262.95,--,--,--,--,--,753.34,605.21,220.54,825.75,6.38,819.37,--,819.37,78.20,741.17,--,--,741.17,155.42,"4,841.68",70.00,47.69,47.69,47.69,47.69,--,--,--,--,--,--,--,--,GNFC
Mar '18,"5,837.31",--,"5,837.31","2,383.19",146.65,2.89,887.99,394.96,270.47,--,--,--,--,--,631.00,"1,120.16",141.52,"1,261.68",99.71,"1,161.97",--,"1,161.97",372.45,789.52,--,--,789.52,155.42,"4,302.56",75.00,50.80,50.80,50.80,50.80,--,--,--,--,--,--,--,--,GNFC
Mar '17,"4,588.77",--,"4,588.77","1,836.65",315.57,2.51,779.34,374.37,251.44,--,--,--,--,--,627.49,401.40,224.86,626.26,203.44,422.82,292.23,715.05,193.75,521.30,--,--,521.30,155.42,"3,646.17",50.00,33.54,33.54,33.54,33.54,--,--,--,--,--,--,--,--,GNFC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GNFC
Mar '21,"2,925.74",--,"2,925.74",511.90,724.98,-18.48,--,235.47,138.45,--,--,--,--,--,955.47,377.95,117.70,495.65,30.70,464.95,--,464.95,108.01,356.94,--,--,356.94,10.40,"2,406.03","1,200.00",68.65,68.65,68.65,68.65,--,--,--,--,--,--,--,--,GODFREY PHILLIP
Mar '20,"2,827.41",25.84,"2,853.25",697.34,570.31,-15.02,--,250.01,152.38,--,155.87,--,--,--,602.66,439.70,106.33,546.03,30.13,515.90,--,515.90,128.02,387.88,--,--,387.88,10.40,"2,050.45","1,200.00",74.60,74.60,74.60,74.60,--,--,--,--,--,--,--,--,GODFREY PHILLIP
Mar '19,"2,449.43",27.61,"2,477.04",654.71,430.25,-14.49,--,251.60,95.92,--,145.55,--,15.08,--,613.92,284.50,79.00,363.50,0.86,362.64,--,362.64,121.67,240.97,--,--,240.97,10.40,"1,885.88",500.00,46.35,46.35,46.35,46.35,--,--,--,--,--,--,--,--,GODFREY PHILLIP
Mar '18,"2,281.15",30.93,"2,312.08",671.33,391.45,128.45,--,209.40,95.65,--,131.40,--,--,--,521.70,162.70,53.10,215.80,1.51,214.29,20.00,234.29,73.53,160.76,--,--,160.76,10.40,"1,696.88",400.00,30.92,30.92,30.92,30.92,--,--,--,--,--,--,--,--,GODFREY PHILLIP
Mar '17,"2,228.17",37.15,"2,265.32",598.58,553.26,-3.46,--,234.07,94.13,--,131.38,--,--,--,502.36,155.00,46.22,201.22,3.45,197.77,--,197.77,61.42,136.35,--,--,136.35,10.40,"1,581.43",400.00,26.22,26.22,26.22,26.22,--,--,--,--,--,--,--,--,GODFREY PHILLIP
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GODFREY PHILLIP
Mar '21,"4,389.83",23.21,"4,413.04","3,179.57",226.90,-13.10,--,229.11,85.09,--,--,--,--,--,417.41,288.06,100.77,388.83,36.27,352.56,--,352.56,73.56,279.00,--,--,279.00,192.07,"1,561.13",80.00,14.53,14.52,14.53,14.52,--,--,--,--,--,--,--,--,GODREJ AGROVET
Mar '20,"4,976.29",142.39,"5,118.68","3,789.83",220.44,45.74,--,216.21,79.85,--,--,--,--,--,424.89,341.72,41.01,382.73,23.51,359.22,--,359.22,65.91,293.31,--,--,293.31,192.04,"1,385.69",55.00,15.27,15.27,15.27,15.27,--,--,--,--,--,--,--,--,GODREJ AGROVET
Mar '19,"4,275.81",10.60,"4,286.41","3,230.44",223.01,-55.59,--,203.10,58.64,--,--,--,--,--,355.54,271.27,58.19,329.46,21.97,307.49,--,307.49,99.61,207.88,--,--,207.88,192.03,"1,198.85",45.00,10.68,10.68,10.68,10.68,--,--,--,--,--,--,--,--,GODREJ AGROVET
Mar '18,"3,674.86",--,"3,674.86","2,617.58",170.81,8.59,--,195.16,53.31,--,--,--,--,--,343.83,285.58,27.62,313.20,31.88,281.32,--,281.32,90.46,190.86,--,--,190.86,192.03,"1,096.85",45.00,9.99,9.99,9.99,9.99,--,--,--,--,--,--,--,--,GODREJ AGROVET
Mar '17,"3,592.05",24.01,"3,616.05","2,638.92",183.61,7.42,--,164.70,48.84,--,--,--,--,--,298.89,273.69,53.26,326.94,68.04,258.90,20.00,278.90,72.09,206.81,--,--,206.81,185.13,717.48,45.00,10.18,9.74,10.18,9.74,--,--,--,--,--,--,--,--,GODREJ AGROVET
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GODREJ AGROVET
Mar '21,"6,133.44",120.89,"6,254.33","2,394.30",356.31,-41.20,--,417.09,83.38,--,543.52,--,--,--,931.56,"1,569.37",64.74,"1,634.11",24.81,"1,609.30",-15.38,"1,593.92",369.58,"1,224.34",--,--,"1,224.34",102.25,"6,256.93",--,11.97,11.97,11.97,11.97,--,--,--,--,--,--,--,--,GODREJ CONSUMER
Mar '20,"5,361.27",113.18,"5,474.45","2,042.68",280.19,-76.90,--,319.22,81.37,--,--,--,--,--,"1,461.55","1,366.34",91.26,"1,457.60",57.97,"1,399.63",--,"1,399.63",219.74,"1,179.89",--,--,"1,179.89",102.23,"5,025.39",800.00,11.54,11.54,11.54,11.54,--,--,--,--,--,--,--,--,GODREJ CONSUMER
Mar '19,"5,556.79",122.52,"5,679.31","2,030.82",254.70,27.75,--,351.50,69.07,--,--,--,--,--,"1,501.98","1,443.49",94.45,"1,537.94",64.86,"1,473.08",--,"1,473.08",-281.90,"1,754.98",--,--,"1,754.98",102.22,"4,823.94","1,500.00",17.17,17.17,17.17,17.17,--,--,--,--,--,--,--,--,GODREJ CONSUMER
Mar '18,"5,162.64",98.38,"5,261.02","1,884.96",247.41,46.24,--,355.51,63.31,--,--,--,--,--,"1,396.60","1,266.99",73.90,"1,340.89",51.88,"1,289.01",--,"1,289.01",289.14,999.87,--,--,999.87,68.13,"4,573.46",900.00,14.68,14.67,14.68,14.67,--,--,--,--,--,--,--,--,GODREJ CONSUMER
Mar '17,"4,672.80",75.30,"4,748.10","1,834.77",216.26,-3.79,--,299.01,56.68,--,528.22,--,--,--,736.06,"1,080.89",62.65,"1,143.54",36.06,"1,107.48",--,"1,107.48",259.45,848.03,--,--,848.03,34.06,"4,339.55","1,500.00",24.90,24.89,24.90,24.89,--,--,--,--,--,--,--,--,GODREJ CONSUMER
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GODREJ CONSUMER
Mar '21,"1,855.53",--,"1,855.53","1,362.68",0.57,-77.24,--,136.00,72.18,--,--,--,--,--,296.75,64.59,64.05,128.64,237.51,-108.87,1.27,-107.60,-0.06,-107.54,--,--,-107.54,33.66,"1,489.08",--,-3.20,-3.19,-3.20,-3.19,--,--,--,--,--,--,--,--,GODREJ IND
Mar '20,"1,968.72",--,"1,968.72","1,187.66",0.97,6.95,--,145.74,68.62,--,--,--,--,--,334.41,224.37,60.93,285.30,228.99,56.31,-25.62,30.69,-0.12,30.81,--,--,30.81,33.65,"1,592.68",--,0.92,0.92,0.92,0.92,--,--,--,--,--,--,--,--,GODREJ IND
Mar '19,"2,143.99",--,"2,143.99","1,289.35",0.80,7.65,--,130.17,54.30,--,--,--,--,--,310.93,350.79,41.79,392.58,239.59,152.99,-243.79,-90.80,-0.07,-90.73,--,--,-90.73,33.64,"1,603.65",115.00,-2.70,-2.70,-2.70,-2.70,--,--,--,--,--,--,--,--,GODREJ IND
Mar '18,"1,958.33",--,"1,958.33","1,278.94",7.81,13.29,--,133.55,68.58,--,--,--,--,--,287.89,168.27,33.43,201.70,212.43,-10.73,267.38,256.65,15.25,241.40,--,--,241.40,33.63,"1,766.93",175.00,7.18,7.17,7.18,7.17,--,--,--,--,--,--,--,--,GODREJ IND
Mar '17,"1,500.09",--,"1,500.09","1,111.86",18.68,-46.05,--,116.25,52.43,--,--,--,--,--,231.29,15.63,46.88,62.51,207.86,-145.35,--,-145.35,-0.11,-145.24,--,--,-145.24,33.61,"1,581.82",175.00,-4.32,-4.32,-4.32,-4.32,--,--,--,--,--,--,--,--,GODREJ IND
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GODREJ IND
Mar '21,570.42,--,570.42,"1,342.20",--,"-1,047.98",--,257.80,16.21,--,--,--,--,--,355.23,-353.04,671.00,317.96,234.52,83.44,--,83.44,126.25,-42.81,--,--,-42.81,138.97,"8,616.54",--,-1.69,-1.69,-1.69,-1.69,--,--,--,--,--,--,--,--,GODREJ PROP
Mar '20,"1,747.05",--,"1,747.05",678.48,--,317.66,--,152.43,16.67,--,--,--,--,--,339.70,242.11,540.63,782.74,270.55,512.19,--,512.19,199.37,312.82,--,--,312.82,126.01,"4,979.98",--,12.69,12.69,12.69,12.69,--,--,--,--,--,--,--,--,GODREJ PROP
Mar '19,"1,413.75",--,"1,413.75",--,--,--,--,143.52,13.12,--,--,--,--,--,"1,180.43",76.68,460.25,536.93,251.95,284.98,--,284.98,75.63,209.35,--,--,209.35,114.66,"2,537.12",--,9.22,9.22,9.22,9.22,--,--,--,--,--,--,--,--,GODREJ PROP
Mar '18,955.83,--,955.83,--,--,--,--,98.74,14.53,--,--,--,--,--,770.68,71.88,493.61,565.49,191.95,373.54,--,373.54,132.69,240.85,--,--,240.85,108.24,"2,073.57",--,11.13,11.12,11.13,11.12,--,--,--,--,--,--,--,--,GODREJ PROP
Mar '17,457.14,--,457.14,--,--,--,--,46.25,13.03,--,--,--,--,--,355.13,42.72,248.14,290.86,177.17,113.69,--,113.69,-10.56,124.25,--,--,124.25,108.18,"1,881.81",--,5.77,5.74,5.77,5.74,--,--,--,--,--,--,--,--,GODREJ PROP
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GODREJ PROP
Mar '21,"3,134.98",--,"3,134.98","1,502.19",--,7.45,--,318.25,118.45,--,--,--,--,--,445.72,742.92,13.72,756.64,23.77,732.87,--,732.87,180.09,552.78,--,--,552.78,24.77,"2,127.56",150.00,22.18,22.09,22.18,22.09,--,--,--,--,--,--,--,--,GRANULES INDIA
Mar '20,"2,309.93",--,"2,309.93","1,253.28",--,-31.30,--,192.51,101.82,--,--,--,--,--,401.29,392.31,26.46,418.77,26.86,391.91,161.12,553.03,108.96,444.07,--,--,444.07,25.42,"1,777.38",100.00,17.47,17.41,17.47,17.41,--,--,--,--,--,--,--,--,GRANULES INDIA
Mar '19,"2,098.43",--,"2,098.43","1,317.33",--,-67.02,--,167.00,90.77,--,--,--,--,--,348.77,241.58,28.49,270.07,28.36,241.71,--,241.71,79.87,161.84,--,--,161.84,25.42,"1,397.81",100.00,6.37,6.35,6.37,6.35,--,--,--,--,--,--,--,--,GRANULES INDIA
Mar '18,"1,646.64",--,"1,646.64",890.20,--,12.89,--,147.92,75.92,--,--,--,--,--,302.10,217.61,23.77,241.38,32.93,208.45,--,208.45,69.29,139.16,--,--,139.16,25.38,"1,252.81",100.00,5.76,5.74,5.76,5.74,--,--,--,--,--,--,--,--,GRANULES INDIA
Mar '17,"1,349.48",--,"1,349.48",670.78,--,-12.20,--,125.81,71.35,--,--,--,--,--,269.29,224.45,14.52,238.97,32.16,206.80,--,206.80,63.98,142.83,--,--,142.83,22.87,861.49,90.00,6.53,6.49,6.53,6.49,--,--,--,--,--,--,--,--,GRANULES INDIA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GRANULES INDIA
Mar '21,"1,839.00",--,"1,839.00",770.00,--,242.00,238.00,185.00,45.00,--,--,--,--,--,388.00,-29.00,306.00,277.00,6.00,271.00,--,271.00,72.00,199.00,--,--,199.00,39.00,"3,968.77",250.00,10.20,10.20,10.20,10.20,--,--,--,--,--,--,--,--,GRAPHITE INDIA
Mar '20,"2,875.00",--,"2,875.00","1,958.00",--,160.00,237.00,206.00,44.00,--,--,--,--,--,409.00,-139.00,157.00,18.00,17.00,1.00,--,1.00,-30.00,31.00,--,--,31.00,39.00,"3,771.29",100.00,1.60,1.60,1.60,1.60,--,--,--,--,--,--,--,--,GRAPHITE INDIA
Mar '19,"6,737.00",--,"6,737.00","2,100.00",--,-679.00,329.00,222.00,56.00,--,--,--,--,--,559.00,"4,150.00",197.00,"4,347.00",11.00,"4,336.00",-55.00,"4,281.00","1,475.00","2,806.00",--,--,"2,806.00",39.00,"4,614.34","2,750.00",143.61,143.61,143.61,143.61,--,--,--,--,--,--,--,--,GRAPHITE INDIA
Mar '18,"2,958.20",--,"2,958.20",711.45,11.80,13.18,299.23,175.78,46.43,--,--,--,--,--,394.22,"1,306.11",88.89,"1,395.00",6.18,"1,388.82",--,"1,388.82",475.19,913.63,--,--,913.63,39.08,"2,562.71",850.00,46.76,46.76,46.76,46.76,--,--,--,--,--,--,--,--,GRAPHITE INDIA
Mar '17,"1,282.88",22.89,"1,305.77",517.32,--,20.09,238.25,152.04,41.56,--,--,--,--,--,302.47,34.04,83.89,117.93,6.50,111.43,--,111.43,-0.85,112.28,--,--,112.28,39.08,"1,812.78",100.00,5.75,5.75,5.75,5.75,--,--,--,--,--,--,--,--,GRAPHITE INDIA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GRAPHITE INDIA
Mar '21,"12,386.36",--,"12,386.36","5,215.57",56.45,273.86,"2,075.99","1,391.29",828.17,--,--,--,--,--,"1,808.88",736.15,513.68,"1,249.83",235.95,"1,013.88",-80.99,932.89,122.44,810.45,--,94.55,905.00,131.62,"42,759.53",450.00,13.78,13.77,13.78,13.77,--,--,--,--,--,--,--,--,GRASIM
Mar '20,"18,609.40",--,"18,609.40","9,046.69",310.85,-164.00,"2,994.42","1,620.26",846.76,--,--,--,--,--,"2,490.64","1,463.78",525.45,"1,989.23",303.85,"1,685.38",-294.08,"1,391.30",121.35,"1,269.95",--,--,"1,269.95",131.57,"37,507.37",200.00,19.35,19.34,19.35,19.34,--,--,--,--,--,--,--,--,GRASIM
Mar '19,"20,550.43",--,"20,550.43","9,565.36",267.35,-126.24,"3,011.71","1,529.00",760.39,--,--,--,--,--,"2,232.09","3,310.77",567.98,"3,878.75",199.05,"3,679.70","-2,368.01","1,311.69",796.39,515.30,--,--,515.30,131.53,"41,797.82",350.00,7.84,7.84,7.84,7.84,--,--,--,--,--,--,--,--,GRASIM
Mar '18,"15,788.47",--,"15,788.47","7,088.15",170.48,51.87,"2,289.71","1,142.72",627.66,--,--,--,--,--,"1,965.36","2,452.52",461.36,"2,913.88",128.13,"2,785.75",-272.61,"2,513.14",744.48,"1,768.66",--,--,"1,768.66",131.48,"44,635.58",310.00,29.20,29.17,29.20,29.17,--,--,--,--,--,--,--,--,GRASIM
Mar '17,"10,345.65",--,"10,345.65","4,680.27",59.68,95.47,"1,490.26",678.00,446.14,--,--,--,--,--,"1,187.20","1,708.63",473.93,"2,182.56",57.62,"2,124.94",--,"2,124.94",564.94,"1,560.00",--,--,"1,560.00",93.37,"16,116.82",275.00,33.42,33.38,33.42,33.38,--,--,--,--,--,--,--,--,GRASIM
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GRASIM
Mar '21,"1,329.06",--,"1,329.06",817.74,95.44,28.19,--,127.09,48.41,--,--,--,--,--,163.67,48.52,10.04,58.56,5.63,52.93,-34.46,18.47,8.11,10.36,--,--,10.36,46.24,852.93,10.00,0.45,0.45,0.45,0.45,--,--,--,--,--,--,--,--,GREAVES COTTON
Mar '20,"1,821.11",--,"1,821.11","1,117.12",158.47,-26.44,--,158.04,52.17,--,--,--,--,--,185.79,175.96,19.84,195.80,3.84,191.96,4.71,196.67,49.16,147.51,--,--,147.51,46.24,841.61,--,6.16,6.16,6.16,6.16,--,--,--,--,--,--,--,--,GREAVES COTTON
Mar '19,"1,987.82",--,"1,987.82","1,262.52",110.97,-15.01,--,174.68,48.83,--,--,--,--,--,179.93,225.90,41.63,267.53,3.33,264.20,-17.87,246.33,77.03,169.30,--,--,169.30,48.84,920.32,200.00,6.93,6.93,6.93,6.93,--,--,--,--,--,--,--,--,GREAVES COTTON
Mar '18,"1,792.10",--,"1,792.10","1,120.90",65.97,22.99,--,167.29,52.35,--,--,--,--,--,159.66,202.94,45.29,248.23,0.81,247.42,48.17,295.59,92.97,202.62,--,--,202.62,48.84,911.56,275.00,8.30,8.30,8.30,8.30,--,--,--,--,--,--,--,--,GREAVES COTTON
Mar '17,"1,634.26",--,"1,634.26",988.60,77.41,-5.89,--,159.32,46.66,--,--,--,--,--,171.39,196.77,50.19,246.96,0.81,246.15,5.98,252.13,68.02,184.11,--,-3.48,180.63,48.84,872.13,275.00,7.40,7.40,7.40,7.40,--,--,--,--,--,--,--,--,GREAVES COTTON
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GREAVES COTTON
Mar '21,"1,622.55",10.35,"1,632.90",535.62,165.30,31.55,58.53,205.42,51.89,--,--,--,--,--,312.68,271.91,50.97,322.88,3.24,319.64,--,319.64,77.56,242.08,--,--,242.08,55.36,"1,301.70",190.00,21.86,21.86,21.86,21.86,--,--,--,--,--,--,--,--,GRINDWELL NORTO
Mar '20,"1,539.94",12.41,"1,552.35",607.12,122.37,0.29,66.53,201.81,54.66,--,--,--,--,--,302.09,197.48,46.17,243.65,4.28,239.37,--,239.37,56.42,182.95,--,--,182.95,55.36,"1,121.31",150.00,16.52,16.52,16.52,16.52,--,--,--,--,--,--,--,--,GRINDWELL NORTO
Mar '19,"1,551.99",14.86,"1,566.85",647.48,109.12,-29.07,63.12,189.55,42.22,--,--,--,--,--,327.52,216.91,37.67,254.58,1.48,253.10,--,253.10,89.26,163.84,--,--,163.84,55.36,"1,031.47",120.00,14.80,14.80,14.80,14.80,--,--,--,--,--,--,--,--,GRINDWELL NORTO
